scenario_id,radius_km,client_tw_hours,client_tw_start,client_tw_end,depot_tw_start,depot_tw_end,service_time_sec,pharmacies_count,vehicles_used,total_distance_km,total_time_sec,execution_time_sec,status,timestamp
05_06_02,5,6,25200,46800,18000,68400,120,25,1,45.9869,8221,20.883553743362427,OK,2025-09-15T16:09:12.483451
05_06_03,5,6,25200,46800,18000,68400,180,25,1,45.9869,9661,20.59785771369934,OK,2025-09-15T16:09:33.089579
05_06_04,5,6,25200,46800,18000,68400,240,25,1,45.9869,11101,20.633375883102417,OK,2025-09-15T16:09:53.730069
05_06_05,5,6,25200,46800,18000,68400,300,25,1,45.9869,12541,20.54231595993042,OK,2025-09-15T16:10:14.280667
05_06_06,5,6,25200,46800,18000,68400,360,25,1,45.9869,13981,20.750691890716553,OK,2025-09-15T16:10:35.039183
05_06_07,5,6,25200,46800,18000,68400,420,25,1,45.9869,15421,20.617106199264526,OK,2025-09-15T16:10:55.668376
05_06_08,5,6,25200,46800,18000,68400,480,25,1,45.9869,16861,20.56417989730835,OK,2025-09-15T16:11:16.240745
05_06_09,5,6,25200,46800,18000,68400,540,25,1,45.9869,18301,20.591199159622192,OK,2025-09-15T16:11:36.839757
05_06_10,5,6,25200,46800,18000,68400,600,25,1,45.9869,19741,20.59993600845337,OK,2025-09-15T16:11:57.447209
05_07_01,5,7,25200,50400,18000,68400,60,25,1,45.9869,6781,20.625550031661987,OK,2025-09-15T16:12:18.079788
05_07_02,5,7,25200,50400,18000,68400,120,25,1,45.9869,8221,20.73401427268982,OK,2025-09-15T16:12:38.821677
05_07_03,5,7,25200,50400,18000,68400,180,25,1,45.9869,9661,20.60379695892334,OK,2025-09-15T16:12:59.432451
05_07_04,5,7,25200,50400,18000,68400,240,25,1,45.9869,11101,21.524393796920776,OK,2025-09-15T16:13:20.964296
05_07_05,5,7,25200,50400,18000,68400,300,25,1,45.9869,12541,20.596632719039917,OK,2025-09-15T16:13:41.568750
05_07_06,5,7,25200,50400,18000,68400,360,25,1,45.9869,13981,20.514339923858643,OK,2025-09-15T16:14:02.089997
05_07_07,5,7,25200,50400,18000,68400,420,25,1,45.9869,15421,20.88961625099182,OK,2025-09-15T16:14:22.986310
05_07_08,5,7,25200,50400,18000,68400,480,25,1,45.9869,16861,20.995531797409058,OK,2025-09-15T16:14:43.988907
05_07_09,5,7,25200,50400,18000,68400,540,25,1,45.9869,18301,20.71094822883606,OK,2025-09-15T16:15:04.707821
05_08_01,5,8,25200,54000,18000,68400,60,25,1,45.9869,6781,20.5854229927063,OK,2025-09-15T16:15:29.236523
05_08_02,5,8,25200,54000,18000,68400,120,25,1,45.9869,8221,20.95144486427307,OK,2025-09-15T16:15:50.194953
05_08_03,5,8,25200,54000,18000,68400,180,25,1,45.9869,9661,20.675787925720215,OK,2025-09-15T16:16:10.877907
05_08_04,5,8,25200,54000,18000,68400,240,25,1,45.9869,11101,20.891687870025635,OK,2025-09-15T16:16:31.776538
05_08_05,5,8,25200,54000,18000,68400,300,25,1,45.9869,12541,20.54953908920288,OK,2025-09-15T16:16:52.333631
05_08_06,5,8,25200,54000,18000,68400,360,25,1,45.9869,13981,20.555938005447388,OK,2025-09-15T16:17:12.895986
05_08_07,5,8,25200,54000,18000,68400,420,25,1,45.9869,15421,28.297532081604004,OK,2025-09-15T16:17:41.200325
05_08_08,5,8,25200,54000,18000,68400,480,25,1,45.9869,16861,20.65938401222229,OK,2025-09-15T16:18:01.866538
05_08_09,5,8,25200,54000,18000,68400,540,25,1,45.9869,18301,20.927597999572754,OK,2025-09-15T16:18:22.800617
05_08_10,5,8,25200,54000,18000,68400,600,25,1,45.9869,19741,20.62120223045349,OK,2025-09-15T16:18:43.428519
05_09_01,5,9,25200,57600,18000,68400,60,25,1,45.9869,6781,20.521961212158203,OK,2025-09-15T16:19:03.957262
05_09_02,5,9,25200,57600,18000,68400,120,25,1,45.9869,8221,20.882811069488525,OK,2025-09-15T16:19:24.846451
05_09_03,5,9,25200,57600,18000,68400,180,25,1,45.9869,9661,20.619513988494873,OK,2025-09-15T16:19:45.473493
05_09_04,5,9,25200,57600,18000,68400,240,25,1,45.9869,11101,20.90646195411682,OK,2025-09-15T16:20:06.387455
05_09_05,5,9,25200,57600,18000,68400,300,25,1,45.9869,12541,20.610639095306396,OK,2025-09-15T16:20:27.005103
05_09_06,5,9,25200,57600,18000,68400,360,25,1,45.9869,13981,22.38555121421814,OK,2025-09-15T16:20:49.398150
05_09_07,5,9,25200,57600,18000,68400,420,25,1,45.9869,15421,20.625753164291382,OK,2025-09-15T16:21:10.030796
05_09_08,5,9,25200,57600,18000,68400,480,25,1,45.9869,16861,20.561896800994873,OK,2025-09-15T16:21:30.599482
05_09_09,5,9,25200,57600,18000,68400,540,25,1,45.9869,18301,20.59162998199463,OK,2025-09-15T16:21:51.198566
05_09_10,5,9,25200,57600,18000,68400,600,25,1,45.9869,19741,20.548652172088623,OK,2025-09-15T16:22:11.753771
05_10_01,5,10,25200,61200,18000,68400,60,25,1,45.9869,6781,20.610590934753418,OK,2025-09-15T16:22:32.372006
05_10_02,5,10,25200,61200,18000,68400,120,25,1,45.9869,8221,20.639233112335205,OK,2025-09-15T16:22:53.019321
05_10_03,5,10,25200,61200,18000,68400,180,25,1,45.9869,9661,21.26668906211853,OK,2025-09-15T16:23:14.292737
05_10_04,5,10,25200,61200,18000,68400,240,25,1,45.9869,11101,20.541343212127686,OK,2025-09-15T16:23:34.841313
05_10_05,5,10,25200,61200,18000,68400,300,25,1,45.9869,12541,20.542519092559814,OK,2025-09-15T16:23:55.390306
05_10_06,5,10,25200,61200,18000,68400,360,25,1,45.9869,13981,20.8221697807312,OK,2025-09-15T16:24:16.219801
05_10_07,5,10,25200,61200,18000,68400,420,25,1,45.9869,15421,20.520039081573486,OK,2025-09-15T16:24:36.747286
05_10_08,5,10,25200,61200,18000,68400,480,25,1,45.9869,16861,20.50500774383545,OK,2025-09-15T16:24:57.258949
05_10_09,5,10,25200,61200,18000,68400,540,25,1,45.9869,18301,20.90238308906555,OK,2025-09-15T16:25:18.168105
05_10_10,5,10,25200,61200,18000,68400,600,25,1,45.9869,19741,20.65906000137329,OK,2025-09-15T16:25:38.834021
10_02_01,10,2,25200,32400,18000,68400,60,126,4,191.0233,28627,23.24671196937561,OK,2025-09-15T16:26:02.116791
10_02_02,10,2,25200,32400,18000,68400,120,126,5,201.4012,36895,23.253416299819946,OK,2025-09-15T16:26:25.403775
10_02_03,10,2,25200,32400,18000,68400,180,126,6,208.43150000000003,44265,22.302035808563232,OK,2025-09-15T16:26:47.738905
10_02_04,10,2,25200,32400,18000,68400,240,126,7,219.4583,52005,22.279538869857788,OK,2025-09-15T16:27:10.056258
10_02_05,10,2,25200,32400,18000,68400,300,126,8,235.03409999999988,59886,22.206694841384888,OK,2025-09-15T16:27:32.309857
10_02_07,10,2,25200,32400,18000,68400,420,126,10,239.84209999999996,73829,22.344403982162476,OK,2025-09-15T16:28:01.763771
10_02_08,10,2,25200,32400,18000,68400,480,126,11,267.23050000000006,82415,22.135167121887207,OK,2025-09-15T16:28:23.940921
10_02_09,10,2,25200,32400,18000,68400,540,126,12,259.1369,88292,22.281983137130737,OK,2025-09-15T16:28:46.273145
10_02_10,10,2,25200,32400,18000,68400,600,126,13,277.323,95697,22.327040195465088,OK,2025-09-15T16:29:08.647046
10_03_02,10,3,25200,36000,18000,68400,120,126,4,188.07090000000002,35593,24.121541023254395,OK,2025-09-15T16:29:38.733182
10_03_04,10,3,25200,36000,18000,68400,240,126,5,193.5016,50300,23.822174787521362,OK,2025-09-15T16:30:08.281260
10_03_05,10,3,25200,36000,18000,68400,300,126,6,204.91039999999987,58307,22.933072090148926,OK,2025-09-15T16:30:31.254273
10_03_06,10,3,25200,36000,18000,68400,360,126,6,216.58290000000008,66308,22.12255620956421,OK,2025-09-15T16:30:53.410216
10_03_07,10,3,25200,36000,18000,68400,420,126,7,226.71419999999992,73957,22.034565210342407,OK,2025-09-15T16:31:15.486577
10_03_08,10,3,25200,36000,18000,68400,480,126,8,230.87929999999992,80911,22.348977088928223,OK,2025-09-15T16:31:37.876358
10_03_09,10,3,25200,36000,18000,68400,540,126,8,229.90779999999992,88315,22.243582010269165,OK,2025-09-15T16:32:00.163495
10_03_10,10,3,25200,36000,18000,68400,600,126,9,237.79729999999992,95052,22.39220404624939,OK,2025-09-15T16:32:22.596185
10_04_01,10,4,25200,39600,18000,68400,60,126,2,192.6783,28266,22.447749137878418,OK,2025-09-15T16:32:45.078081
10_04_03,10,4,25200,39600,18000,68400,180,126,3,191.28319999999997,43404,23.32527780532837,OK,2025-09-15T16:33:14.974727
10_04_05,10,4,25200,39600,18000,68400,300,126,4,192.79499999999996,58029,23.31845712661743,OK,2025-09-15T16:33:42.703944
10_04_07,10,4,25200,39600,18000,68400,420,126,5,203.54789999999986,73037,22.398259162902832,OK,2025-09-15T16:34:12.997466
10_04_08,10,4,25200,39600,18000,68400,480,126,6,200.9728,79700,22.61595106124878,OK,2025-09-15T16:34:35.649261
10_04_09,10,4,25200,39600,18000,68400,540,126,6,214.485,87578,22.533524990081787,OK,2025-09-15T16:34:58.223493
10_04_10,10,4,25200,39600,18000,68400,600,126,7,214.65309999999997,94514,24.159011840820312,OK,2025-09-15T16:35:22.419792
10_05_01,10,5,25200,43200,18000,68400,60,126,2,179.02409999999995,27745,22.179723978042603,OK,2025-09-15T16:35:44.636937
10_05_02,10,5,25200,43200,18000,68400,120,126,2,184.78119999999998,35594,22.418145895004272,OK,2025-09-15T16:36:07.092884
10_05_03,10,5,25200,43200,18000,68400,180,126,3,189.40819999999994,43133,22.188505172729492,OK,2025-09-15T16:36:29.316474
10_05_04,10,5,25200,43200,18000,68400,240,126,3,180.4400000000001,49798,22.203370332717896,OK,2025-09-15T16:36:51.558579
10_05_05,10,5,25200,43200,18000,68400,300,126,4,191.19220000000004,57670,23.29607605934143,OK,2025-09-15T16:37:14.886037
10_05_06,10,5,25200,43200,18000,68400,360,126,4,190.62830000000002,65104,24.015271186828613,OK,2025-09-15T16:37:38.939974
10_05_07,10,5,25200,43200,18000,68400,420,126,4,205.14459999999997,73525,22.145692825317383,OK,2025-09-15T16:38:01.127912
10_05_08,10,5,25200,43200,18000,68400,480,126,5,191.68559999999997,79295,22.193072080612183,OK,2025-09-15T16:38:23.363618
10_05_09,10,5,25200,43200,18000,68400,540,126,5,199.63779999999997,87266,22.24361491203308,OK,2025-09-15T16:38:45.645357
10_05_10,10,5,25200,43200,18000,68400,600,126,6,209.96799999999993,94525,22.533992052078247,OK,2025-09-15T16:39:08.219931
10_06_01,10,6,25200,46800,18000,68400,60,126,2,179.3298999999999,27657,22.550516843795776,OK,2025-09-15T16:39:30.803104
10_06_02,10,6,25200,46800,18000,68400,120,126,2,179.03909999999993,35050,22.013908863067627,OK,2025-09-15T16:39:52.848192
10_06_03,10,6,25200,46800,18000,68400,180,126,2,183.9405,43155,22.533957958221436,OK,2025-09-15T16:40:15.418274
10_06_05,10,6,25200,46800,18000,68400,300,126,3,192.11229999999998,58298,22.502776861190796,OK,2025-09-15T16:40:42.843840
10_06_06,10,6,25200,46800,18000,68400,360,126,3,181.77069999999998,64816,22.191218376159668,OK,2025-09-15T16:41:05.069846
10_06_07,10,6,25200,46800,18000,68400,420,126,4,190.1974,72352,22.32720422744751,OK,2025-09-15T16:41:27.433646
10_06_08,10,6,25200,46800,18000,68400,480,126,4,191.96290000000005,79880,22.16613507270813,OK,2025-09-15T16:41:49.634805
10_06_09,10,6,25200,46800,18000,68400,540,126,4,195.19169999999997,87451,22.222774028778076,OK,2025-09-15T16:42:11.895636
10_06_10,10,6,25200,46800,18000,68400,600,126,5,203.36989999999992,94819,22.09631085395813,OK,2025-09-15T16:42:34.026353
10_07_01,10,7,25200,50400,18000,68400,60,126,2,179.79369999999994,27700,23.33464813232422,OK,2025-09-15T16:42:57.395283
10_07_02,10,7,25200,50400,18000,68400,120,126,2,182.524,35290,26.421195030212402,OK,2025-09-15T16:43:23.847546
10_07_03,10,7,25200,50400,18000,68400,180,126,2,181.21239999999997,42833,22.211063146591187,OK,2025-09-15T16:43:46.086528
10_07_04,10,7,25200,50400,18000,68400,240,126,2,182.6894,50344,22.26711106300354,OK,2025-09-15T16:44:08.383813
10_07_05,10,7,25200,50400,18000,68400,300,126,3,183.52179999999998,57424,22.178357124328613,OK,2025-09-15T16:44:30.595191
10_07_06,10,7,25200,50400,18000,68400,360,126,3,185.6936000000001,64956,22.18601703643799,OK,2025-09-15T16:44:52.814634
10_07_07,10,7,25200,50400,18000,68400,420,126,3,186.92009999999993,72624,22.23634386062622,OK,2025-09-15T16:45:15.084127
10_07_08,10,7,25200,50400,18000,68400,480,126,4,190.76389999999992,79746,25.275609016418457,OK,2025-09-15T16:45:40.396353
10_07_09,10,7,25200,50400,18000,68400,540,126,4,182.79650000000004,86483,22.223906993865967,OK,2025-09-15T16:46:02.653371
10_07_10,10,7,25200,50400,18000,68400,600,126,4,190.67869999999996,94588,28.787347078323364,OK,2025-09-15T16:46:31.474963
10_08_01,10,8,25200,54000,18000,68400,60,126,2,179.79369999999994,27700,22.278806924819946,OK,2025-09-15T16:46:53.786672
10_08_02,10,8,25200,54000,18000,68400,120,126,2,179.8454,35396,22.13564419746399,OK,2025-09-15T16:47:15.955787
10_08_03,10,8,25200,54000,18000,68400,180,126,2,179.89579999999992,42861,22.205069065093994,OK,2025-09-15T16:47:38.189306
10_08_04,10,8,25200,54000,18000,68400,240,126,2,178.34839999999994,49895,22.133962869644165,OK,2025-09-15T16:48:00.352796
10_08_05,10,8,25200,54000,18000,68400,300,126,2,183.26950000000005,57827,22.251176357269287,OK,2025-09-15T16:48:22.642370
10_08_06,10,8,25200,54000,18000,68400,360,126,3,185.70160000000004,65077,22.111570835113525,OK,2025-09-15T16:48:44.788856
10_08_07,10,8,25200,54000,18000,68400,420,126,3,187.7858,72650,22.16507315635681,OK,2025-09-15T16:49:06.981682
10_08_08,10,8,25200,54000,18000,68400,480,126,3,185.9759999999999,80038,22.378265857696533,OK,2025-09-15T16:49:29.387239
10_08_09,10,8,25200,54000,18000,68400,540,126,3,185.71719999999993,87229,24.160554885864258,OK,2025-09-15T16:49:53.589242
10_08_10,10,8,25200,54000,18000,68400,600,126,4,190.94820000000004,94258,22.28380799293518,OK,2025-09-15T16:50:15.907238
10_09_01,10,9,25200,57600,18000,68400,60,126,2,179.79369999999994,27700,22.576805114746094,OK,2025-09-15T16:50:38.517646
10_09_02,10,9,25200,57600,18000,68400,120,126,2,179.8454,35396,22.251616954803467,OK,2025-09-15T16:51:00.802141
10_09_07,10,9,25200,57600,18000,68400,420,126,3,180.1427,71947,22.510738849639893,OK,2025-09-15T16:51:26.328391
05_03_02,5,3,25200,36000,18000,68400,120,25,1,45.9869,8221,51.55267000198364,OK,2025-09-15T19:48:27.195166
05_07_10,5,7,25200,50400,18000,68400,600,25,1,45.9869,19741,20.61377215385437,OK,2025-09-15T19:48:47.829392
10_02_06,10,2,25200,32400,18000,68400,360,126,9,231.38840000000002,66609,53.37708282470703,OK,2025-09-15T19:49:41.253997
10_03_01,10,3,25200,36000,18000,68400,60,126,3,186.8502,28249,52.252328872680664,OK,2025-09-15T19:50:33.541847
10_03_03,10,3,25200,36000,18000,68400,180,126,4,194.50160000000005,43172,26.17757487297058,OK,2025-09-15T19:50:59.754577
10_04_02,10,4,25200,39600,18000,68400,120,126,3,184.7874999999999,35527,22.674365043640137,OK,2025-09-15T19:51:22.458998
10_04_04,10,4,25200,39600,18000,68400,240,126,4,181.60420000000002,49966,22.197126865386963,OK,2025-09-15T19:51:44.695246
10_04_06,10,4,25200,39600,18000,68400,360,126,5,194.1863999999999,64829,22.261483192443848,OK,2025-09-15T19:52:06.992928
10_06_04,10,6,25200,46800,18000,68400,240,126,3,188.90619999999996,50568,22.553653955459595,OK,2025-09-15T19:52:29.584805
10_09_03,10,9,25200,57600,18000,68400,180,126,2,179.8454,42836,53.14595413208008,OK,2025-09-15T19:53:22.767779
10_09_04,10,9,25200,57600,18000,68400,240,126,2,186.61169999999993,50704,52.17613697052002,OK,2025-09-15T19:54:14.975076
10_09_05,10,9,25200,57600,18000,68400,300,126,2,181.12409999999994,57831,52.7771201133728,OK,2025-09-15T19:55:07.789991
10_09_09,10,9,25200,57600,18000,68400,540,126,3,189.65179999999992,87451,57.71817684173584,OK,2025-09-15T19:56:46.814841
10_09_10,10,9,25200,57600,18000,68400,600,126,3,189.85080000000008,94983,53.43921780586243,OK,2025-09-15T19:57:40.290378
10_10_01,10,10,25200,61200,18000,68400,60,126,2,179.79369999999994,27700,23.1991970539093,OK,2025-09-15T19:58:03.522550
10_10_02,10,10,25200,61200,18000,68400,120,126,2,179.8454,35396,22.32076597213745,OK,2025-09-15T19:58:25.885800
10_10_03,10,10,25200,61200,18000,68400,180,126,2,179.8454,42836,53.37022089958191,OK,2025-09-15T19:59:19.292676
10_10_04,10,10,25200,61200,18000,68400,240,126,2,178.21130000000002,50089,52.21825289726257,OK,2025-09-15T20:00:11.547877
10_10_06,10,10,25200,61200,18000,68400,360,126,2,180.72699999999992,65529,52.44711184501648,OK,2025-09-15T20:01:08.749137
10_10_07,10,10,25200,61200,18000,68400,420,126,3,179.22019999999992,72086,52.354697942733765,OK,2025-09-15T20:02:01.148489
10_10_08,10,10,25200,61200,18000,68400,480,126,3,177.57330000000002,79175,52.25707221031189,OK,2025-09-15T20:02:53.450904
10_10_09,10,10,25200,61200,18000,68400,540,126,3,188.22169999999997,87566,52.53044033050537,OK,2025-09-15T20:03:46.029078
10_10_10,10,10,25200,61200,18000,68400,600,126,3,181.8676000000001,94302,52.168789863586426,OK,2025-09-15T20:04:38.233613
15_02_01,15,2,25200,32400,18000,68400,60,182,7,336.0311,45789,26.29844307899475,OK,2025-09-15T20:05:04.593455
15_02_02,15,2,25200,32400,18000,68400,120,182,8,381.74910000000017,59553,24.283457040786743,OK,2025-09-15T20:05:28.939278
15_02_03,15,2,25200,32400,18000,68400,180,182,10,349.7375000000001,66812,53.57226276397705,OK,2025-09-15T20:06:22.575062
15_02_04,15,2,25200,32400,18000,68400,240,182,11,383.1591000000003,79875,53.4193651676178,OK,2025-09-15T20:07:16.066613
15_02_05,15,2,25200,32400,18000,68400,300,182,12,420.0110000000003,92795,25.185876846313477,OK,2025-09-15T20:07:41.327962
15_02_06,15,2,25200,32400,18000,68400,360,182,14,418.16340000000014,101897,54.36627411842346,OK,2025-09-15T20:08:35.767112
15_02_08,15,2,25200,32400,18000,68400,480,182,17,461.8351,124147,23.7988920211792,OK,2025-09-15T20:09:05.331342
15_02_09,15,2,25200,32400,18000,68400,540,182,18,447.028,132530,23.652601718902588,OK,2025-09-15T20:09:29.066875
15_02_10,15,2,25200,32400,18000,68400,600,182,19,466.29500000000024,143520,53.86924409866333,OK,2025-09-15T20:10:23.016952
15_03_01,15,3,25200,36000,18000,68400,60,182,5,332.17540000000014,45205,53.350752115249634,OK,2025-09-15T20:11:16.439902
15_03_03,15,3,25200,36000,18000,68400,180,182,7,356.3448999999998,68129,54.46759796142578,OK,2025-09-15T20:12:46.978084
15_03_05,15,3,25200,36000,18000,68400,300,182,9,375.3244999999999,89426,23.334829092025757,OK,2025-09-15T20:13:46.809733
15_03_06,15,3,25200,36000,18000,68400,360,182,9,381.61739999999986,100714,23.39821195602417,OK,2025-09-15T20:14:10.275427
15_03_08,15,3,25200,36000,18000,68400,480,182,11,389.3683000000002,121160,23.516258716583252,OK,2025-09-15T20:14:39.634770
15_03_09,15,3,25200,36000,18000,68400,540,182,12,409.9746999999999,132327,23.586929321289062,OK,2025-09-15T20:15:03.295292
15_03_10,15,3,25200,36000,18000,68400,600,182,13,432.6177,143234,53.505295753479004,OK,2025-09-15T20:15:56.875011
15_04_01,15,4,25200,39600,18000,68400,60,182,4,324.1659,44659,53.74120092391968,OK,2025-09-15T20:16:50.669933
15_04_02,15,4,25200,39600,18000,68400,120,182,4,343.37499999999994,56566,53.80255889892578,OK,2025-09-15T20:17:44.537448
15_04_03,15,4,25200,39600,18000,68400,180,182,5,344.5658000000001,67341,23.604501008987427,OK,2025-09-15T20:18:08.203361
15_04_04,15,4,25200,39600,18000,68400,240,182,6,337.1955000000002,77944,53.37725210189819,OK,2025-09-15T20:19:01.627394
15_04_05,15,4,25200,39600,18000,68400,300,182,7,367.0123000000003,89522,53.77809405326843,OK,2025-09-15T20:19:55.454524
15_04_06,15,4,25200,39600,18000,68400,360,182,7,365.936,99990,53.368398904800415,OK,2025-09-15T20:20:48.884740
15_04_07,15,4,25200,39600,18000,68400,420,182,8,350.90210000000025,109797,55.73952794075012,OK,2025-09-15T20:21:44.688729
15_04_08,15,4,25200,39600,18000,68400,480,182,9,367.66570000000013,120713,53.88076901435852,OK,2025-09-15T20:22:38.635791
15_04_09,15,4,25200,39600,18000,68400,540,182,9,373.8629000000001,131601,23.4343900680542,OK,2025-09-15T20:23:02.138976
15_05_01,15,5,25200,43200,18000,68400,60,182,3,327.24679999999995,44995,53.252641916275024,OK,2025-09-15T20:24:03.183698
15_05_02,15,5,25200,43200,18000,68400,120,182,4,321.6609000000002,55766,53.39737391471863,OK,2025-09-15T20:24:56.637342
15_05_03,15,5,25200,43200,18000,68400,180,182,4,342.0707000000003,67114,53.386120080947876,OK,2025-09-15T20:25:50.079929
15_05_04,15,5,25200,43200,18000,68400,240,182,5,325.93000000000006,77430,23.315709829330444,OK,2025-09-15T20:26:13.447455
15_05_05,15,5,25200,43200,18000,68400,300,182,5,362.13889999999986,89922,53.41929817199707,OK,2025-09-15T20:27:06.922233
15_05_06,15,5,25200,43200,18000,68400,360,182,6,335.1290000000002,98817,53.56639003753662,OK,2025-09-15T20:28:00.546708
15_05_07,15,5,25200,43200,18000,68400,420,182,6,334.0835,109429,23.679720878601074,OK,2025-09-15T20:28:24.290454
15_05_08,15,5,25200,43200,18000,68400,480,182,7,362.24520000000007,120471,53.28027701377869,OK,2025-09-15T20:29:17.623660
15_05_09,15,5,25200,43200,18000,68400,540,182,8,361.9965000000001,131281,53.44930291175842,OK,2025-09-15T20:30:11.133190
15_06_01,15,6,25200,46800,18000,68400,60,182,3,303.93950000000007,44159,23.898019790649414,OK,2025-09-15T20:30:42.841833
15_06_02,15,6,25200,46800,18000,68400,120,182,3,326.6557000000002,55435,58.82631516456604,OK,2025-09-15T20:31:41.721110
