DC,Date,Demand,Opening_Inventory,End_Inventory,Inventory_Position,Reorder_Point,Order_Placed_Qty,Order_Received_Qty
DC14,2025-05-14,18,53.0,35.0,156.0,67.0,0.0,0.0
DC14,2025-05-15,25,156.0,131.0,131.0,67.0,0.0,121.0
DC15,2025-05-06,53,292.0,239.0,239.0,123.0,0.0,0.0
DC15,2025-05-07,47,239.0,192.0,192.0,123.0,0.0,0.0
DC15,2025-05-08,69,192.0,123.0,123.0,123.0,169.0,0.0
DC15,2025-05-09,58,123.0,65.0,234.0,123.0,0.0,0.0
DC15,2025-05-10,61,234.0,173.0,173.0,123.0,0.0,169.0
DC15,2025-05-11,66,173.0,107.0,107.0,123.0,169.0,0.0
DC15,2025-05-12,68,107.0,39.0,208.0,123.0,0.0,0.0
DC15,2025-05-13,54,208.0,154.0,154.0,123.0,0.0,169.0
DC15,2025-05-14,49,154.0,105.0,105.0,123.0,169.0,0.0
DC15,2025-05-15,61,105.0,44.0,213.0,123.0,0.0,0.0
DC16,2025-05-06,73,326.0,253.0,253.0,144.0,0.0,0.0
DC16,2025-05-07,54,253.0,199.0,199.0,144.0,0.0,0.0
DC16,2025-05-08,63,199.0,136.0,136.0,144.0,182.0,0.0
DC16,2025-05-09,84,136.0,52.0,234.0,144.0,0.0,0.0
DC16,2025-05-10,58,234.0,176.0,176.0,144.0,0.0,182.0
DC16,2025-05-11,82,176.0,94.0,94.0,144.0,182.0,0.0
DC16,2025-05-12,69,94.0,25.0,207.0,144.0,0.0,0.0
DC16,2025-05-13,58,207.0,149.0,149.0,144.0,0.0,182.0
DC16,2025-05-14,56,149.0,93.0,93.0,144.0,182.0,0.0
DC16,2025-05-15,78,93.0,15.0,197.0,144.0,0.0,0.0
DC2,2025-05-06,27,201.0,174.0,174.0,74.0,0.0,0.0
DC2,2025-05-07,22,174.0,152.0,152.0,74.0,0.0,0.0
DC2,2025-05-08,46,152.0,106.0,106.0,74.0,0.0,0.0
DC2,2025-05-09,21,106.0,85.0,85.0,74.0,0.0,0.0
DC2,2025-05-10,23,85.0,62.0,62.0,74.0,127.0,0.0
DC2,2025-05-11,32,62.0,30.0,157.0,74.0,0.0,0.0
DC2,2025-05-12,42,157.0,115.0,115.0,74.0,0.0,127.0
DC2,2025-05-13,31,115.0,84.0,84.0,74.0,0.0,0.0
DC2,2025-05-14,42,84.0,42.0,42.0,74.0,127.0,0.0
DC2,2025-05-15,45,42.0,-3.0,124.0,74.0,0.0,0.0
DC3,2025-05-06,75,317.0,242.0,242.0,139.0,0.0,0.0
DC3,2025-05-07,49,242.0,193.0,193.0,139.0,0.0,0.0
DC3,2025-05-08,79,193.0,114.0,114.0,139.0,178.0,0.0
DC3,2025-05-09,49,114.0,65.0,243.0,139.0,0.0,0.0
DC3,2025-05-10,77,243.0,166.0,166.0,139.0,0.0,178.0
DC3,2025-05-11,66,166.0,100.0,100.0,139.0,178.0,0.0
DC3,2025-05-12,76,100.0,24.0,202.0,139.0,0.0,0.0
DC3,2025-05-13,64,202.0,138.0,138.0,139.0,178.0,178.0
DC3,2025-05-14,51,138.0,87.0,265.0,139.0,0.0,0.0
DC3,2025-05-15,63,265.0,202.0,202.0,139.0,0.0,178.0
DC4,2025-05-06,38,245.0,207.0,207.0,97.0,0.0,0.0
DC4,2025-05-07,53,207.0,154.0,154.0,97.0,0.0,0.0
DC4,2025-05-08,53,154.0,101.0,101.0,97.0,0.0,0.0
DC4,2025-05-09,41,101.0,60.0,60.0,97.0,148.0,0.0
DC4,2025-05-10,54,60.0,6.0,154.0,97.0,0.0,0.0
DC4,2025-05-11,41,154.0,113.0,113.0,97.0,0.0,148.0
DC4,2025-05-12,29,113.0,84.0,84.0,97.0,148.0,0.0
DC4,2025-05-13,57,84.0,27.0,175.0,97.0,0.0,0.0
DC4,2025-05-14,49,175.0,126.0,126.0,97.0,0.0,148.0
DC4,2025-05-15,30,126.0,96.0,96.0,97.0,148.0,0.0
DC5,2025-05-06,39,244.0,205.0,205.0,95.0,0.0,0.0
DC5,2025-05-07,43,205.0,162.0,162.0,95.0,0.0,0.0
DC5,2025-05-08,48,162.0,114.0,114.0,95.0,0.0,0.0
DC5,2025-05-09,36,114.0,78.0,78.0,95.0,149.0,0.0
DC5,2025-05-10,55,78.0,23.0,172.0,95.0,0.0,0.0
DC5,2025-05-11,50,172.0,122.0,122.0,95.0,0.0,149.0
DC5,2025-05-12,42,122.0,80.0,80.0,95.0,149.0,0.0
DC5,2025-05-13,50,80.0,30.0,179.0,95.0,0.0,0.0
DC5,2025-05-14,46,179.0,133.0,133.0,95.0,0.0,149.0
DC5,2025-05-15,43,133.0,90.0,90.0,95.0,149.0,0.0
DC6,2025-05-06,47,249.0,202.0,202.0,98.0,0.0,0.0
DC6,2025-05-07,55,202.0,147.0,147.0,98.0,0.0,0.0
DC6,2025-05-08,46,147.0,101.0,101.0,98.0,0.0,0.0
DC6,2025-05-09,46,101.0,55.0,55.0,98.0,151.0,0.0
DC6,2025-05-10,53,55.0,2.0,153.0,98.0,0.0,0.0
DC6,2025-05-11,37,153.0,116.0,116.0,98.0,0.0,151.0
DC6,2025-05-12,44,116.0,72.0,72.0,98.0,151.0,0.0
DC6,2025-05-13,38,72.0,34.0,185.0,98.0,0.0,0.0
DC6,2025-05-14,46,185.0,139.0,139.0,98.0,0.0,151.0
DC6,2025-05-15,54,139.0,85.0,85.0,98.0,151.0,0.0
DC7,2025-05-06,73,298.0,225.0,225.0,128.0,0.0,0.0
DC7,2025-05-07,72,225.0,153.0,153.0,128.0,0.0,0.0
DC7,2025-05-08,48,153.0,105.0,105.0,128.0,170.0,0.0
DC7,2025-05-09,46,105.0,59.0,229.0,128.0,0.0,0.0
DC7,2025-05-10,47,229.0,182.0,182.0,128.0,0.0,170.0
DC7,2025-05-11,76,182.0,106.0,106.0,128.0,170.0,0.0
DC7,2025-05-12,48,106.0,58.0,228.0,128.0,0.0,0.0
DC7,2025-05-13,50,228.0,178.0,178.0,128.0,0.0,170.0
DC7,2025-05-14,54,178.0,124.0,124.0,128.0,170.0,0.0
DC7,2025-05-15,76,124.0,48.0,218.0,128.0,0.0,0.0
DC8,2025-05-06,58,263.0,205.0,205.0,107.0,0.0,0.0
DC8,2025-05-07,40,205.0,165.0,165.0,107.0,0.0,0.0
DC8,2025-05-08,62,165.0,103.0,103.0,107.0,156.0,0.0
DC8,2025-05-09,41,103.0,62.0,218.0,107.0,0.0,0.0
DC8,2025-05-10,49,218.0,169.0,169.0,107.0,0.0,156.0
DC8,2025-05-11,43,169.0,126.0,126.0,107.0,0.0,0.0
DC8,2025-05-12,56,126.0,70.0,70.0,107.0,156.0,0.0
DC8,2025-05-13,42,70.0,28.0,184.0,107.0,0.0,0.0
DC8,2025-05-14,65,184.0,119.0,119.0,107.0,0.0,156.0
DC8,2025-05-15,42,119.0,77.0,77.0,107.0,156.0,0.0
DC9,2025-05-06,61,278.0,217.0,217.0,116.0,0.0,0.0
DC9,2025-05-07,44,217.0,173.0,173.0,116.0,0.0,0.0
DC9,2025-05-08,41,173.0,132.0,132.0,116.0,0.0,0.0
DC9,2025-05-09,45,132.0,87.0,87.0,116.0,162.0,0.0
DC9,2025-05-10,52,87.0,35.0,197.0,116.0,0.0,0.0
DC9,2025-05-11,50,197.0,147.0,147.0,116.0,0.0,162.0
DC9,2025-05-12,71,147.0,76.0,76.0,116.0,162.0,0.0
DC9,2025-05-13,66,76.0,10.0,172.0,116.0,0.0,0.0
DC9,2025-05-14,64,172.0,108.0,108.0,116.0,162.0,162.0
DC9,2025-05-15,42,108.0,66.0,228.0,116.0,0.0,0.0
